Apple	2015-03-09	94	Various Artists 	 Wicked (Original Broadway Cast Recording)
Apple	2015-03-09	95	Chris LeDoux 	 Best of Chris Ledoux
Apple	2015-03-09	96	Miranda Lambert 	 Platinum
Apple	2015-03-09	97	Nick Jonas 	 Nick Jonas (Deluxe Version)
Apple	2015-03-09	98	Björk 	 Vulnicura
Apple	2015-03-09	99	Queen 	 Greatest Hits (We Will Rock You Edition)
Apple	2015-03-09	100	Asleep At the Wheel 	 Still the King: Celebrating the Music of Bob Wills and His Texas Playboys
Apple	2015-03-11	1	Luke Bryan 	 Spring Break...Checkin' Out
Apple	2015-03-11	2	Empire Cast 	 Original Soundtrack from Season 1 of Empire (Deluxe)
Apple	2015-03-11	3	Drake 	 If You're Reading This It's Too Late
Apple	2015-03-11	4	Madonna 	 Rebel Heart
Apple	2015-03-11	5	Mumford & Sons 	 Wilder Mind (Deluxe Version)
Apple	2015-03-11	6	Kendrick Lamar 	 [Untitled]
Apple	2015-03-11	7	Various Artists 	 Fifty Shades of Grey (Original Motion Picture Soundtrack)
Apple	2015-03-11	8	Taylor Swift 	 1989
Apple	2015-03-11	9	Big Sean 	 Dark Sky Paradise (Deluxe)
Apple	2015-03-11	10	Zac Brown Band 	 JEKYLL + HYDE
Apple	2015-03-11	11	Ed Sheeran 	 x (Deluxe Edition)
Apple	2015-03-11	12	Kelly Clarkson 	 Piece By Piece (Deluxe Version)
Apple	2015-03-11	13	KB 	 Tomorrow We Live
Apple	2015-03-11	14	Sam Hunt 	 Montevallo
Apple	2015-03-11	15	Eli Young Band 	 Turn It On - EP
Apple	2015-03-11	16	Sam Smith 	 In the Lonely Hour (Deluxe Version)
Apple	2015-03-11	17	Childish Gambino 	 Because the Internet
Apple	2015-03-11	18	Wale 	 The Album About Nothing
Apple	2015-03-11	19	Imagine Dragons 	 Smoke + Mirrors
Apple	2015-03-11	20	Fall Out Boy 	 American Beauty
Apple	2015-03-11	21	Luke Bryan 	 Spring Break...Checkin' Out (5 Song) - EP
Apple	2015-03-11	22	Kevin "K.O." Olusola 	 The Renegade EP - EP
Apple	2015-03-11	23	King Lil G 	 90's Kid
Apple	2015-03-11	24	Rae Sremmurd 	 SremmLife
Apple	2015-03-11	25	J. Cole 	 2014 Forest Hills Drive
Apple	2015-03-11	26	Meghan Trainor 	 Title (Deluxe)
Apple	2015-03-11	27	Olly Murs 	 Never Been Better (Deluxe)
Apple	2015-03-11	28	Maroon 5 	 V (Deluxe Version)
Apple	2015-03-11	29	Brandi Carlile 	 The Firewatcher's Daughter
Apple	2015-03-11	30	Hozier 	 Hozier (Bonus Tracks Version)
Apple	2015-03-11	31	Chase Rice 	 Ignite the Night (Party Edition)
Apple	2015-03-11	32	Sheppard 	 Bombs Away
Apple	2015-03-11	33	Various Artists 	 Now That's What I Call Music, Vol. 53
Apple	2015-03-11	34	G-Eazy 	 These Things Happen
Apple	2015-03-11	35	Glee Cast 	 Glee: The Music, We Built This Glee Club - EP
Apple	2015-03-11	36	Lecrae 	 Anomaly
Apple	2015-03-11	37	Various Artists 	 Guardians of the Galaxy: Awesome Mix, Vol. 1 (Original Motion Picture Soundtrack)
Apple	2015-03-11	38	Fences 	 Lesser Oceans
Apple	2015-03-11	39	Nicki Minaj 	 The Pinkprint (Deluxe Version)
Apple	2015-03-11	40	Skrillex & Diplo 	 Skrillex and Diplo Present Jack Ü
